Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
3.69E+07,2051.14,1352.49,285.27,0.644276,0.6169,0.576631,14583,8996.24,5187.51,0.981523,-0.191295,-0.00425552,-0.108392,-0.574203,0.811506,0.157681,0.796051,0.584328,-291.162,-247.344,-192.606,293.059,205.999,186.923,14283.7,6787.1,7695.89,-1527.05,-374.262,-1767.1,948104,0,1.07E+09,29
9.76E+06,2739.44,2601.69,251.22,0.652069,0.63799,0.545356,6516.02,4157.16,2267.13,-0.158036,-0.68358,0.712561,-0.919851,0.364297,0.14547,0.359025,0.63246,0.686364,-190.569,-161.135,-105.907,148.456,158.841,142.783,3972.45,4503.39,4464.47,-174.337,-731.376,-1969.44,416472,0,2.93E+08,30
9.12E+06,1012.75,1067.25,301.029,0.62572,0.806554,0.464048,5258.9,4241.58,1968.3,-0.388489,0.506921,0.769485,0.774691,0.63184,-0.025126,-0.498928,0.586352,-0.638171,-153.463,-167.202,-89.4154,154.49,142.609,108.677,3829.23,3721.43,3918.12,464.701,-1027.93,1247.47,376312,0,2.83E+08,31
2.15E+07,2223.9,3189.92,331.834,0.657843,0.828761,0.412854,9497.89,7871.48,3249.77,0.0574147,0.370389,0.927101,0.996777,-0.0733802,-0.0324133,0.0560253,0.925974,-0.373409,-234.98,-218.182,-123.186,200.166,211.562,132.872,7862.34,4131.82,8624.98,-205.178,183.26,2156.52,650608,0,6.86E+08,32
1.07E+07,3225.36,3050.98,311.098,0.496973,0.632382,0.795448,5704.99,3607.73,2869.76,0.932017,-0.265385,-0.246809,0.255149,-0.00314831,0.966897,0.257377,0.964137,-0.0647785,-198.809,-135.54,-148.384,190.568,147.68,112.244,5380.64,3069.45,3732.39,-701.868,-470.128,183.459,418912,0,3.53E+08,33
4.02E+07,1025.83,3155.78,306.131,0.559859,0.733956,0.599683,14036.8,10302.4,6178.19,0.304428,0.950482,0.0625062,0.651462,-0.255631,0.714318,0.694925,-0.176738,-0.697025,-278.701,-228.972,-224.611,272.277,239.801,192.122,8656.83,13547.3,8313.28,1587.1,2068.75,-286.201,1.04E+06,0,1.37E+09,34
1.68E+07,2427.73,2070.9,336.009,0.443601,0.762876,0.729344,7377.34,5627.99,4104.74,0.976044,0.100793,-0.192816,0.211632,-0.645471,0.733879,0.0504869,0.757105,0.65134,-202.35,-179.115,-180.828,211.934,169.705,133.969,7290.64,4772.62,5046.8,113.874,-379.312,-785.161,588200,0,5.88E+08,35
1.70E+07,1781.34,2101.11,335.756,0.622444,0.715025,0.528032,8526.67,6096.78,3219.29,0.789336,-0.267784,0.552485,0.340343,0.939799,-0.0307373,-0.510994,0.212297,0.832956,-236.956,-181.586,-158.561,206.291,185.758,127.861,6859.37,6141.33,4842.03,-201.454,2284.43,-868.331,598656,0,6.13E+08,36
2.65E+07,2973.85,986.332,330.58,0.528712,0.598138,0.787925,11356,6792.46,5351.95,0.871735,0.267819,-0.410306,-0.0071159,0.844229,0.535936,0.489926,-0.464274,0.73785,-247.047,-216.182,-155.617,223.66,181.807,182.336,9914.64,6809.29,6776.49,1393.1,-2153.01,-8.01064,747904,0,9.81E+08,37
8.07E+06,2241.01,2005.48,311.056,0.642776,0.773396,0.46189,5207.31,4027.32,1860.18,-0.649225,0.710789,0.270714,-0.269409,-0.547749,0.79208,0.711284,0.441305,0.547105,-190.749,-158.797,-92.948,161.114,119.659,127.814,3428.27,4201.42,3465.12,-1224.78,-1050.73,-296.179,365424,0,3.07E+08,38
1.11E+07,2834.59,1703.43,350.353,0.543295,0.701267,0.651257,5889.53,4130.14,2689.78,-0.400708,0.653247,0.642418,0.750454,-0.168225,0.639155,0.525597,0.73822,-0.422823,-187.927,-163.647,-126.905,183.825,164.027,122.833,4014.74,4095.98,4598.74,-1019.41,-132.811,1187.93,416904,0,4.33E+08,39
3.44E+07,2986.65,2607.94,342.514,0.505225,0.558762,0.885485,12987.2,7256.74,6425.73,0.730118,-0.665811,-0.153703,0.630201,0.56915,0.528124,-0.264151,-0.482456,0.835141,-234.185,-202.862,-193.788,276.712,178.922,166.719,10253.5,9603.63,6812.52,-2891.59,-459.753,921.264,862824,0,1.37E+09,40
3.38E+07,1291.83,1252.34,367.64,0.496329,0.818043,0.615703,11239.5,9194.42,5661.03,0.82956,0.00421729,-0.558401,0.497158,0.449786,0.741975,-0.25429,0.893127,-0.371028,-230.665,-244.577,-194.342,229.799,200.638,194.438,10373.3,6375.96,9345.7,809.635,-1280.72,1166.06,857560,0,1.38E+09,41
3.00E+07,2228.5,1591.22,379.209,0.611171,0.481127,0.808162,14382.1,6919.64,5592.19,0.985506,-0.0792739,-0.149981,0.132539,-0.192032,0.972398,0.105887,0.978182,0.178741,-253.88,-185.704,-194.516,321.072,216.992,194.846,14152.5,5696.38,7045.09,-720.5,-1128.14,-143.368,896680,0,1.26E+09,42
2.32E+07,2155.34,2680.21,373.748,0.608515,0.6084,0.643467,10590.9,6443.49,4146.17,0.931129,-0.0338241,-0.363118,0.362899,-0.0126217,0.931743,0.0360985,0.999348,-0.000522357,-266.5,-209.279,-141.645,224.607,188.546,151.48,10036.3,4153.91,6990.35,-213.496,-1402.23,52.1382,683976,0,9.96E+08,43
1.66E+07,3086.08,1653.89,382.632,0.443591,0.837877,0.664071,6777.8,5678.96,3771.23,-0.291571,0.427134,0.855887,-0.629136,0.588365,-0.507951,0.720537,0.686574,-0.097175,-211.45,-186.708,-139.895,176.017,180.388,132.433,4781.94,4980.17,6465.9,-1080.61,-140.642,528.991,544512,0,7.30E+08,44
8.50E+06,2617.48,1613.1,414.436,0.531757,0.940079,0.498089,4571.53,4297.6,2140.59,0.340705,0.15642,0.927067,0.824484,0.424171,-0.374573,-0.451826,0.891971,0.015551,-149.342,-153.515,-119.689,149.72,131.225,102.314,3889.05,2588.16,4532.51,883.908,101.678,9.80302,356664,0,3.83E+08,45
3.71E+07,3202.76,2016.2,411.243,0.540645,0.654793,0.701527,13295.3,8705.65,6107.25,-0.568614,-0.315376,0.759747,0.686328,0.32725,0.649508,-0.453467,0.890755,0.0303727,-244.351,-202.191,-181.787,288.556,236.204,178.635,9655.26,7100.45,11352.5,1872.61,-1946.94,-1170,898856,0,1.71E+09,46
1.47E+07,2953.24,2966.05,395.075,0.764936,0.620693,0.378712,9297.95,5771.17,2185.61,0.903055,-0.344765,0.256182,0.310582,0.936117,0.164995,-0.296701,-0.0694336,0.952443,-235.309,-164.839,-109.357,190.694,172.083,102.953,8331.64,6173.09,2750,-1171.9,1829.15,-74.3757,524376,0,6.90E+08,47
1.98E+07,1376.58,3053.95,394.746,0.56489,0.863353,0.503977,8757.67,7560.96,3810.55,0.711728,-0.119207,0.692266,-0.655612,-0.466576,0.5937,-0.252221,0.876411,0.410229,-171.198,-227.078,-134.526,259.958,211.968,171.464,7928.58,4697.29,7503.31,727.493,977.674,-1447.14,655424,0,9.50E+08,48
1.40E+07,2599.98,1216.15,374.231,0.415992,0.770849,0.757617,6159.77,4748.25,3597.36,-0.468665,0.449569,0.760422,0.287686,0.891561,-0.349793,0.835219,-0.0548272,0.547178,-164.707,-148.595,-149.513,177.939,165.44,116.176,4255.44,5030.08,5219.87,-244.701,-1029.02,517.072,492320,0,6.84E+08,49
2.64E+07,2878.41,2078.14,405.353,0.616672,0.890464,0.430481,10508.6,9357.56,4028.25,-0.0103884,-0.696929,0.717064,0.99399,-0.0853487,-0.0685518,0.108976,0.712043,0.693628,-202.732,-243.366,-134.542,236.426,216.008,150.961,9294.39,7214.66,7385.39,-405.198,-411.411,-3207.35,781872,0,1.32E+09,50
3.29E+07,2654.89,2828.79,367.897,0.457767,0.631793,0.858246,11813.8,7463.89,6405.85,-0.694155,-0.0933701,0.713745,-0.355179,0.906869,-0.226797,0.626097,0.410939,0.66267,-270.084,-207.395,-201.799,251.86,220.1,176.039,9145.16,7323.14,9215.27,9.71307,-2594.15,-578.012,837912,0,1.68E+09,51
3.76E+07,1586.3,2444.42,420.097,0.577766,0.641742,0.657949,14008.3,8989.7,5914.76,0.937295,-0.347448,-0.0275233,0.219901,0.528252,0.820118,0.270409,0.774745,-0.571532,-272.712,-220.451,-217.842,291.703,210.921,171.722,13173.8,7749.88,7989.08,-2278.55,345.758,1409.55,955072,0,1.95E+09,52
3.96E+07,1138.82,2096.33,452.096,0.573316,0.946783,0.450667,12424,11762.8,5301.11,0.566569,-0.18324,-0.803382,0.823798,0.103629,0.557331,0.0188711,0.977591,-0.209666,-263.478,-257.594,-177.867,259.636,258.989,156.378,11972.8,5609.67,11905.5,-187.848,-275.379,1421.77,935728,0,2.10E+09,53
2.72E+07,2840.89,1470.82,433.595,0.630201,0.635751,0.581673,11613.9,7383.55,4294.81,0.992852,-0.0455867,0.110304,-0.107692,0.0562549,0.992591,0.0514541,0.997375,-0.0509434,-242.861,-192.343,-126.889,241.84,209.502,164.551,11545.5,4319.79,7427,-349.981,471.385,135.666,708768,0,1.47E+09,54
3.52E+07,1153.98,943.722,437.371,0.441169,0.81912,0.682234,11364.7,9309.06,6350.95,0.832912,0.301982,-0.46375,0.0221515,0.81913,0.57318,-0.552962,0.487681,-0.675574,-213.912,-202.353,-181.453,240.475,262.797,183.052,9830.66,8792.98,8401.08,1314.75,-1899.07,686.709,893016,0,1.94E+09,55
3.12E+07,1216.1,2357.38,402.133,0.603212,0.943954,0.420346,11000.1,10383.6,4364.72,0.671257,0.0694185,0.737967,-0.732634,0.213273,0.646345,0.11252,0.974523,-0.19402,-259.746,-250.569,-128.888,260.925,238.814,170.811,10585.2,4670.47,10492.8,-631.267,436.8,1169.62,811208,0,1.75E+09,56
2.59E+07,2851.83,1219.76,446.295,0.590597,0.643107,0.636602,11018.7,7086.21,4511.09,0.943039,0.128319,-0.306939,0.301265,0.0619934,0.951523,-0.141127,0.989793,-0.019804,-267.77,-206.396,-163.046,247.249,201.3,153.852,10532.2,4628.14,7455.69,835.581,-1145.48,-104.409,712480,0,1.48E+09,57
4.62E+07,2148.46,2959.8,435.042,0.856308,0.169522,0.847629,38255.6,6485.17,5497.02,0.997813,0.0284774,0.0596432,-0.016873,0.982269,-0.186717,-0.0639029,0.185303,0.980602,-436.53,-203.98,-169.624,373.782,200.064,184.404,38112.8,6477.01,5648,914.464,1952.67,-125.593,1.27E+06,0,2.68E+09,58
1.14E+07,2137.4,2424.04,435.313,0.633425,0.581167,0.630757,6957.56,4043.5,2550.47,0.850846,-0.0963014,-0.516514,0.466881,0.589499,0.659176,-0.241005,0.802008,-0.546534,-209.059,-164.139,-141.834,199.222,136.758,115.583,6066.38,3110.18,4374.96,49.8145,-1477.31,799.383,453032,0,6.75E+08,59
