Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
912,2993.91,2908.49,1275.39,0.790812,0.596818,0.350506,14.4838,8.64421,3.02985,0.661952,0.737123,-0.135901,0.749397,-0.647228,0.139645,-0.0149769,0.194282,0.980831,-9.78196,-7.69089,-4.44778,7.95484,7.26019,4.6029,11.2018,11.6053,3.35088,2.86572,-0.442856,-1.65485,712,0,1.60E+06,1749
207024,1178.57,776.966,1314.58,0.699806,0.398945,0.752469,632.455,252.315,189.859,0.74828,-0.182861,0.637682,0.35217,0.92412,-0.14825,-0.562186,0.335506,0.755899,-64.5918,-36.7861,-37.3761,52.8945,39.4342,36.709,445.425,257.996,371.209,-40.2348,207.93,-60.1663,32440,0,3.62E+08,1750
1736,879.871,2338.5,1281.66,0.688124,0.482509,0.646362,21.3507,10.3019,6.65876,0.592468,0.661551,0.459708,0.018091,-0.581427,0.813397,0.805391,-0.473596,-0.356445,-10.459,-7.67308,-7.27432,12.5094,7.18467,6.14905,11.8171,14.3203,12.174,5.72014,4.05515,2.74515,1104,0,3.04E+06,1751
16,1906,2406,1275,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,-2,-1,-1,2,1,1,0,0,1,0,0,0,40,0,28032,1752
392,656.98,2557.59,1277.51,0.803975,0.373312,0.525098,9.81151,3.66275,1.9233,0.685307,0.706325,0.17737,-0.585408,0.389422,0.711089,-0.433188,0.591148,-0.680362,-7.21741,-4.71333,-4.07693,7.64099,4.67369,3.87548,6.22409,6.12245,3.05102,3.42173,0.234753,1.46993,424,0,687176,1753
392672,3173.06,2666.46,1313.6,0.689268,0.509481,0.609899,865.951,441.185,269.078,0.942829,0.272373,-0.192059,-0.332227,0.722407,-0.606426,-0.0264292,0.635564,0.771596,-65.1863,-50.1931,-50.9625,91.3189,63.0285,46.4765,818.65,403.176,354.388,111.971,-73.4064,-106.621,50208,0,6.89E+08,1754
1.02E+07,2278.86,2766.61,1412.33,0.574241,0.65144,0.653565,5663.48,3689.42,2411.28,0.957262,0.183672,0.223416,-0.267404,0.267711,0.925649,-0.110205,0.945831,-0.305384,-206.889,-138.154,-129.759,194.631,135.963,146.634,5482.83,2612.59,3668.75,480.311,379.172,450.186,407728,0,1.78E+10,1755
224,2534.43,1264.21,1278.5,0.81933,0.626828,0.288229,5.83877,3.65991,1.05489,-0.0639633,0.996206,0.059009,0.82724,0.0198549,0.561498,-0.558196,-0.0847299,0.825372,-5.32827,-4.41692,-2.80611,4.89723,4.83222,2.8343,2.85714,5.80357,1.89286,-0.262045,1.19196,0.310263,296,0,393344,1756
1184,675.689,2560.26,1281.14,0.397313,0.847979,0.710733,11.0717,9.38857,6.67277,0.999237,0.00790247,0.0382399,-0.0133816,0.989308,0.145225,-0.0366834,-0.145626,0.988659,-8.71298,-7.6494,-6.34215,7.42931,6.82996,6.20032,11.0655,9.33108,6.73649,-0.0012178,0.162808,0.39153,856,0,2.08E+06,1757
501616,2660.34,3011.01,1323.78,0.766287,0.469562,0.497726,1243.02,583.677,290.511,0.648321,0.679057,-0.344327,-0.449361,0.706354,0.546936,0.614617,-0.199863,0.763086,-74.427,-64.6447,-41.9395,91.404,55.9477,48.4156,750.068,876.003,491.139,326.288,-284.685,-109.455,62552,0,8.82E+08,1758
