Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
6.70E+06,2886.28,2963.06,1100.06,0.654934,0.48646,0.70934,5164.39,2512.27,1782.05,0.00743622,-0.579328,0.815061,0.95945,0.233815,0.157437,-0.281781,0.780839,0.557575,-163.611,-110.367,-95.992,166.133,126.683,107.981,2454.44,2957.16,4047.12,149.241,130.802,-1570.22,282848,0,1.49E+09,223
4672,1961.01,814.993,963.315,0.481351,0.569966,0.909964,32.6344,18.6005,16.9258,-0.169325,-0.661417,0.730655,0.192378,0.704918,0.682702,0.966602,-0.256161,-0.00788154,-12.9462,-10.138,-9.57973,13.8042,10.6928,9.53894,17.4382,24.6301,26.0925,1.9864,-1.72349,-6.78551,1952,0,1.05E+06,224
9.41E+06,2545.65,2503.47,1154.08,0.770607,0.409506,0.560171,7999.59,3275.88,1835.05,0.0542641,-0.514915,0.855522,0.997919,-0.00193113,-0.0644583,0.0348427,0.857239,0.513738,-206.845,-152.203,-104.244,186.708,131.982,107.627,3288.04,3469.51,6352.98,-175.022,193.503,-2715.43,380168,0,2.12E+09,225
6.29E+06,2671.43,3018.32,1112.08,0.699346,0.867421,0.346607,4283.27,3715.4,1287.78,0.733764,-0.496523,0.463741,-0.657138,-0.345358,0.669998,0.172513,0.796362,0.579695,-154.116,-148.861,-80.5475,161.285,136.644,102.369,3948.9,2315.82,3021.73,-540.405,-49.5405,-1251.46,285424,0,1.42E+09,226
5.67E+06,2862.65,1421.59,1097.11,0.685237,0.397005,0.792844,5109.08,2028.33,1608.15,-0.355426,0.677791,-0.643639,-0.632879,0.332233,0.699346,0.687849,0.655912,0.310876,-174.395,-114.648,-88.7554,162.372,110.841,105.963,2218.71,3262.86,3263.99,-931.738,614.921,-1429.66,252112,0,1.29E+09,227
1.16E+07,2133.58,2746.84,1155.46,0.744294,0.557953,0.458293,7870.01,4391.1,2012.41,0.360458,-0.551228,0.752474,0.924087,0.101179,-0.368547,0.127018,0.828197,0.545853,-206.153,-159.927,-105.783,186.316,142.476,108.377,4804.74,3816.61,5652.18,-941.471,778.682,-2518.34,425312,0,2.64E+09,228
2.06E+07,1135.41,1466.29,1150.86,0.562232,0.866251,0.505359,8250.69,7147.17,3611.89,0.981889,0.0841641,-0.169737,0.181815,-0.670491,0.719295,0.0532684,0.737129,0.67365,-202.347,-183.137,-155.186,197.327,196.488,141.738,8201.05,5234.06,5574.64,-47.6206,-310.777,-1771.27,603848,0,4.72E+09,229
2.54E+07,1276.06,2948.99,1171.9,0.713792,0.597802,0.478768,12507.8,7477.2,3579.84,0.72605,-0.43405,0.533341,0.677619,0.583558,-0.447541,-0.11698,0.686339,0.717812,-260.942,-203.156,-128.495,225.716,194.671,142.394,10075.8,6589.07,6900.04,-1272.45,2275.28,-3084.65,728512,0,5.84E+09,230
4.12E+06,3076.72,899.679,1076.44,0.617922,0.423383,0.902441,3820.65,1617.6,1459.79,0.0377247,0.77105,-0.635656,-0.0989971,0.635863,0.765427,0.994372,0.0340526,0.10032,-155.569,-101.172,-82.2726,129.011,87.3247,97.1339,1464.7,2927.18,2506.17,58.7379,-68.5715,-1080.31,203344,0,9.52E+08,231
1.07E+07,939.63,2177.74,1149.83,0.774099,0.727438,0.310544,7429.75,5404.68,1678.39,0.000450264,-0.439973,0.898011,0.950366,0.279591,0.136507,-0.311135,0.853377,0.418261,-184.425,-165.934,-105.72,219.186,172.846,119.327,5043.96,3083.01,6385.86,988.987,485.742,-2130.15,437272,0,2.48E+09,232
3656,972.915,1320.18,986.862,0.31465,0.73381,0.933962,23.26,17.0684,15.9413,-0.223943,0.880336,-0.418161,0.974096,0.216,-0.0669338,-0.0313987,0.422319,0.905903,-11.4285,-9.14647,-9.86021,11.4069,9.35062,9.10842,17.3778,21.6658,17.2261,-1.20569,0.611868,-2.71049,1608,0,851848,233
3.02E+06,3132.92,2064.71,1108.42,0.735092,0.722254,0.36678,2852,2059.87,755.519,0.161708,0.0499363,0.985574,0.59486,0.791942,-0.137727,0.787396,-0.60855,-0.0983581,-107.931,-103.718,-60.4873,126.475,93.4146,63.402,1271.9,1578.8,2816.69,631.401,227.264,-39.0874,167440,0,7.06E+08,234
3.51E+07,2062.91,1387.41,1245.31,0.785023,0.703615,0.305532,16127.3,11347.4,3466.99,0.431147,0.450914,-0.78153,0.902161,-0.229595,0.365228,0.0147488,0.862533,0.505786,-280.839,-248.025,-146.683,282.53,271.069,138.07,12234.2,6456.53,12250.9,829.007,-1669.39,-5122.32,938096,0,8.26E+09,235
5.04E+06,945.394,1288.91,1129.39,0.724591,0.570366,0.482863,4315.26,2461.28,1188.46,0.926532,0.19703,-0.320497,0.375422,-0.539564,0.753611,0.0244451,0.818566,0.573892,-152.098,-111.718,-76.2887,153.362,122.559,88.6274,4052.08,1680.4,2232.51,312.983,-568.397,-715.004,248600,0,1.19E+09,236
1.19E+07,1558.77,2206.18,1207.6,0.885174,0.302725,0.379306,13294,4024.42,1526.49,-0.265481,-0.463586,0.845345,0.960657,-0.0529887,0.272636,-0.0815966,0.884466,0.459415,-227.572,-158.095,-98.7201,263.56,178.174,95.2688,4661.11,4062.48,10121.3,1321.11,-1986.66,-4647.65,496920,0,2.81E+09,237
5.21E+06,1384.23,1157.46,1140,0.42565,0.722416,0.79504,3237.2,2338.61,1859.29,-0.465214,0.625512,-0.626347,-0.635976,0.255989,0.728014,0.61572,0.737024,0.278721,-132.64,-120.923,-98.3318,114.404,102.325,108.873,2351.37,2429.83,2653.9,-479.004,179.579,-450.522,245744,0,1.24E+09,238
8,1298,3116,1014,-1,-1,-1,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,24,0,1912,239
7.65E+06,3041.22,1342.71,1176.78,0.561809,0.573228,0.764428,5056.49,2898.52,2215.71,0.449864,-0.160661,0.878527,0.486299,0.869137,-0.0900735,-0.74909,0.467748,0.469123,-174.006,-123.106,-98.614,171.948,116.817,121.422,2952.1,2804.83,4413.79,83.2783,1092.82,-454.417,323304,0,1.84E+09,240
1.38E+07,3282.55,1926.89,1209.92,0.670791,0.455666,0.722478,8871.64,4042.5,2920.62,0.545975,-0.461979,0.698918,-0.365667,0.619174,0.694918,0.753789,0.634979,-0.169123,-219.924,-154.846,-128.539,212.521,144.048,137.96,4844.56,4620.82,6369.38,-1755.03,1985.78,-1438.78,483464,0,3.34E+09,241
2.70E+06,3312.58,2092.44,1145.16,0.791421,0.489157,0.426405,3374.76,1650.79,703.905,0.49626,0.00141371,0.868173,0.868143,0.00760607,-0.496256,-0.00730494,0.99997,0.00254729,-138.974,-100.811,-65.7155,113.787,87.6512,56.4463,2075.31,703.965,2950.18,8.12621,742.773,-0.296019,160504,0,6.53E+08,242
