,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
248,65900000.0,2312.62,3058.03,1633.46,0.396569,0.805846,0.748816,1250000.0,16400000000.0,501.1436872935548
249,80900000.0,2793.66,2522.24,1680.27,0.456367,0.703799,0.772427,1470000.0,20200000000.0,536.5991327536483
256,4344.0,2417.67,2838.62,1400.11,0.863885,0.263927,0.51573,2392.0,1120000.0,20.244034313183494
257,51300000.0,2578.51,2799.7,1709.44,0.665565,0.527064,0.634524,1110000.0,13200000000.0,461.0056495173486
260,52000000.0,1724.9,1018.2,1638.38,0.643993,0.551742,0.645242,1110000.0,13600000000.0,463.0930256838135
265,1552.0,1288.16,2897.89,1456.79,0.829344,0.288035,0.592482,1096.0,412832.0,14.364737634424344
266,22300000.0,3113.77,2769.22,1698.6,0.627519,0.712299,0.522928,640576.0,5950000000.0,349.2223900148048
270,1880.0,3016.31,2625.4,1500.54,0.95438,0.0745099,0.612273,1472.0,509480.0,15.312745891568312
274,49200000.0,1781.34,1875.2,1779.76,0.486477,0.774377,0.663144,1040000.0,13500000000.0,454.6272814533522
275,2000.0,1274.49,2869.45,1532.77,0.788854,0.283488,0.744813,1352.0,552000.0,15.63185283593544
276,129000000.0,2631.82,1772.18,1887.69,0.34953,0.846736,0.768208,1960000.0,35700000000.0,626.8982093389452
278,128000000.0,1504.64,1345.02,1898.51,0.290582,0.792449,0.895222,1920000.0,35700000000.0,625.2741134374176
279,51000000.0,1967.27,2272.84,1815.6,0.627655,0.576456,0.645921,1100000.0,14300000000.0,460.1052455660458
281,2080.0,1263.82,2843.53,1567.97,0.531964,0.587048,0.79727,1344.0,586560.0,15.837558699861098
283,62700000.0,2883.83,1419.31,1867.02,0.526908,0.834344,0.567023,1220000.0,17800000000.0,492.8971490496398
284,1216.0,1263.3,2828.53,1593.33,0.940343,0.0894144,0.667193,1056.0,346560.0,13.242754181611415
286,112000000.0,1080.65,3079.91,1878.18,0.523102,0.662064,0.720321,1790000.0,32100000000.0,598.0531746873982
287,6830000.0,1425.04,856.368,1737.41,0.636287,0.636625,0.571314,285744.0,1970000000.0,235.4004888829233
288,24100000.0,1559.14,2148.83,1799.43,0.678585,0.691127,0.46506,702912.0,6970000000.0,358.37645849710793
289,74700000.0,1062.45,1020.67,1860.61,0.582938,0.454369,0.917894,1420000.0,21700000000.0,522.5253038882313
291,2960.0,2074.82,1131.78,1604.19,0.870378,0.175259,0.739605,1832.0,864320.0,17.814119565996222
293,73500000.0,2283.97,1448.96,1891.77,0.473406,0.568742,0.925893,1330000.0,21600000000.0,519.7121925680816
295,36800000.0,2936.75,2067.04,1823.25,0.612229,0.68262,0.568063,907320.0,10900000000.0,412.68282876895154
298,1552.0,2118.78,1147.13,1624.44,0.825291,0.327888,0.532833,1136.0,464048.0,14.364737634424344
300,132000000.0,1379.84,1840.05,1987.91,0.517298,0.688343,0.701253,2010000.0,39800000000.0,631.7206927705879
302,94392.0,1112.59,1798.89,1659.7,0.742447,0.453701,0.567672,16272.0,28600000.0,56.490947009063916
305,43100000.0,2128.33,1877.89,1888.79,0.506691,0.695224,0.709569,932368.0,13200000000.0,435.0036315672128
310,1528.0,2088.89,1156.48,1660.83,0.907713,0.316032,0.292017,1192.0,475208.0,14.29030760642013
317,191000000.0,1082.33,2594.72,2089.34,0.42295,0.832899,0.692821,2510000.0,60900000000.0,714.5153803210065
321,50100000.0,1960.53,1167.39,1989.16,0.445045,0.870337,0.637632,1040000.0,16100000000.0,457.3826655801454
325,1440.0,1274.22,2804.32,1738.12,0.797681,0.307355,0.658258,1024.0,469440.0,14.010531899288832
327,113000000.0,1651.72,2474.43,2066.64,0.416743,0.730568,0.798361,1800000.0,37200000000.0,599.8278235900232
329,37800000.0,1909.35,1563.85,1996.35,0.393368,0.636992,0.952338,853768.0,12500000000.0,416.387540630355
330,1000.0,1292.9,2786.51,1751.63,0.88057,0.167485,0.713078,824.0,331000.0,12.407009817988001
333,2016.0,1759.9,1577.4,1772.47,0.959642,0.0502042,0.803876,1680.0,673344.0,15.673427108413087
335,63500000.0,2334.31,2495.84,2096.76,0.729297,0.400632,0.675691,1230000.0,21300000000.0,494.9846155624348
337,1664.0,1391.76,2743.63,1776.59,0.674147,0.475217,0.685693,1200.0,562432.0,14.702287122592438
339,50000000.0,3009.37,2842.93,2019.29,0.539618,0.532183,0.865082,1060000.0,17000000000.0,457.0781497340832
340,25400000.0,3094.8,3208.19,1959.63,0.563227,0.76277,0.572614,697704.0,8650000000.0,364.70778301488247
342,1392.0,1381.03,2735.34,1790.14,0.800488,0.336027,0.593739,1040.0,477456.0,13.853096866267325
347,35300000.0,1611.07,958.803,2035.7,0.667072,0.599261,0.555564,836536.0,12300000000.0,406.997768147599
348,4450000.0,2094.29,3192.07,1919.98,0.777059,0.600996,0.370953,238768.0,1550000000.0,204.07374273241032
354,177000000.0,2369.58,2951.35,2184.6,0.432891,0.626579,0.905088,2370000.0,62900000000.0,696.6129569086083
355,2728.0,1353.4,2773.21,1837.15,0.937741,0.222524,0.279784,1864.0,971168.0,17.335987342643342
357,1184.0,1377.65,2762.24,1832.81,0.785181,0.679767,0.316019,960.0,423872.0,13.125555520335219
361,1136.0,1375.7,2789.44,1879.01,0.937112,0.23132,0.271865,1040.0,411232.0,12.945730735881488
364,1568.0,2067.03,2722.32,1891.77,0.93614,0.222568,0.286926,1264.0,572320.0,14.413932325382701
365,130000000.0,1246.88,2179.23,2315.6,0.574788,0.79203,0.536864,2070000.0,47700000000.0,628.5139335191905
367,34100000.0,2043.63,2565.82,2189.59,0.777802,0.451912,0.491683,837880.0,12500000000.0,402.332626346329
368,6080.0,2052.63,2736.66,1918.16,0.985271,0.350128,0.0420669,4264.0,2240000.0,22.64479111830777
370,65500000.0,1839.76,2106.44,2194.72,0.508351,0.91086,0.539764,1320000.0,24300000000.0,500.1276810859449
371,90000000.0,2751.01,2585.91,2192.24,0.479477,0.609325,0.854261,1530000.0,33500000000.0,556.0083268891276
376,2360.0,1402.24,2802.93,1927.69,0.955726,0.10233,0.432658,1776.0,889720.0,16.518519748328355
381,147000000.0,2504.06,2139.99,2255.14,0.447733,0.717265,0.769962,2170000.0,56100000000.0,654.7963313035439
382,1400.0,3199.93,958.194,1936.43,0.890796,0.217222,0.502729,1112.0,536200.0,13.879584687678499
391,21900000.0,2942.19,1205.84,2154.3,0.635637,0.550547,0.66182,640120.0,8600000000.0,347.1217533879759
394,61900000.0,2992.87,1810.93,2238.54,0.281917,0.865814,0.829374,1260000.0,24400000000.0,490.7918499284667
397,7072.0,1389.25,2863.19,1991.74,0.96945,0.141334,0.216152,4680.0,2810000.0,23.814851434060216
400,2216.0,1450.83,2855.03,1996.17,0.912763,0.116097,0.751416,1616.0,888616.0,16.175475067184284
401,5096.0,1987.32,2803.66,2006.31,0.90786,0.396847,0.232179,3448.0,2050000.0,21.35060892211808
407,77100000.0,2714.72,1414.57,2328.13,0.493944,0.650038,0.778503,1390000.0,31500000000.0,528.0624081475885
408,160000000.0,1725.55,2844.83,2353.11,0.605348,0.655329,0.602219,2270000.0,65200000000.0,673.5561203842519
410,4864.0,1949.31,3120.67,2036.26,0.950892,0.273841,0.179329,2968.0,2000000.0,21.02156191884623
411,5448.0,1396.54,2934.68,2049.2,0.954635,0.218849,0.207287,3536.0,2240000.0,21.831294699449998
414,40400000.0,2291.22,1614.28,2258.3,0.503115,0.711659,0.698207,910736.0,16800000000.0,425.72345782420217
416,64600000.0,2024.02,1819.86,2340.87,0.480483,0.607086,0.855755,1290000.0,26900000000.0,497.826447543998
417,1992.0,896.265,2237.29,2067.65,0.983744,0.12237,0.132847,1992.0,832656.0,15.610982513606295
418,177240.0,3316.98,2699.25,2103.7,0.82364,0.350721,0.502851,25312.0,74300000.0,69.6927668022985
419,52500000.0,1336.23,1137.73,2303.54,0.471242,0.737412,0.717045,1130000.0,22000000000.0,464.5725661693963
420,27768.0,2310.23,1830.99,2087.81,0.64086,0.597689,0.600881,11744.0,11700000.0,37.57064573569942
423,285000000.0,2316.43,1069.24,2509.67,0.478919,0.58907,0.884582,3380000.0,121000000000.0,816.4860065020099
428,64600000.0,3025.36,3026.32,2358.73,0.695788,0.612963,0.496298,1250000.0,27700000000.0,497.826447543998
431,3504.0,1355.47,2907.79,2098.25,0.862468,0.173614,0.792172,2304.0,1510000.0,18.844668049992688
432,127000000.0,1020.0,3018.83,2434.53,0.687733,0.403104,0.774656,1990000.0,55100000000.0,623.6415365212331
433,1048.0,1974.53,3155.25,2089.48,0.82693,0.503085,0.344017,872.0,454832.0,12.602427860705841
437,85600000.0,1579.72,1506.46,2382.65,0.203512,0.860542,0.925565,1490000.0,37500000000.0,546.7956456559614
441,1024.0,2366.03,1824.69,2138.8,0.908979,0.534576,0.170267,992.0,452608.0,12.505482268748352
444,10100000.0,1770.46,1099.42,2284.0,0.549334,0.525048,0.858333,373352.0,4480000000.0,268.1889729733723
448,3368.0,1894.63,863.121,2166.5,0.772946,0.482847,0.47024,2272.0,1510000.0,18.597639292639983
451,15992.0,1306.12,2935.57,2223.53,0.987797,0.29472,0.0414045,9472.0,7230000.0,31.258494185581323
452,2552.0,1749.05,1741.47,2177.02,0.894738,0.409466,0.257071,2024.0,1160000.0,16.95485249841795
453,20800000.0,1916.74,1364.23,2334.25,0.703121,0.512275,0.57953,606344.0,9420000000.0,341.2098586839701
454,1088.0,2102.59,1376.74,2170.15,0.578983,0.589368,0.714354,768.0,495040.0,12.760766376043412
462,3024.0,1903.03,910.783,2183.45,0.721545,0.571002,0.487661,1728.0,1400000.0,17.941595240621943
464,11500000.0,2101.19,2268.77,2375.88,0.599649,0.718533,0.557179,422144.0,5350000000.0,280.04838511916535
465,1240.0,3238.46,2677.41,2192.84,0.746599,0.78446,0.323026,960.0,577840.0,13.32931058758858
467,150000000.0,1075.51,1425.8,2569.79,0.451637,0.850783,0.644539,2180000.0,70400000000.0,659.2207650508869
473,2310000.0,1926.44,759.253,2297.46,0.674756,0.553489,0.587626,136368.0,1100000000.0,164.01029856142853
474,1936.0,1217.74,1561.13,2210.75,0.842615,0.418914,0.375697,1344.0,919600.0,15.463302205306377
475,17100000.0,3025.38,2484.25,2400.22,0.819227,0.261132,0.692266,595448.0,8130000000.0,319.6434646321909
476,1264.0,1231.81,1532.61,2214.87,0.885201,0.211001,0.544068,1096.0,602928.0,13.41475721955121
484,1296.0,1303.8,2958.73,2247.36,0.902684,0.158212,0.6151,1080.0,628560.0,13.527019821441918
