,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
2835,128064.0,1316.26,2627.38,2086.0,0.637632,0.608334,0.595673,21512.0,363000000.0,62.53783084257549
2836,228560.0,2454.05,926.239,2098.85,0.337898,0.866434,0.764168,29824.0,648000000.0,75.85785095459741
2837,32300000.0,1310.7,1957.8,2273.63,0.572171,0.584994,0.73134,962520.0,91800000000.0,395.125113264467
2838,27152.0,1210.09,2838.75,2082.04,0.905635,0.123443,0.764445,8504.0,77100000.0,37.29074566178143
2839,1660000.0,1630.57,1664.05,2132.17,0.532558,0.719402,0.649765,117328.0,4720000000.0,146.90496991535247
2840,720544.0,2554.56,2802.82,2113.87,0.585804,0.557655,0.742746,71328.0,2050000000.0,111.22966467268924
2842,2872.0,3283.87,667.214,2061.7,0.901346,0.353864,0.278792,1696.0,8170000.0,17.63580430650201
2845,2152.0,2404.62,2823.17,2069.42,0.904992,0.256562,0.370312,1448.0,6120000.0,16.018230847504423
2846,572888.0,1077.27,3199.73,2112.73,0.543068,0.837716,0.54545,57440.0,1630000000.0,103.04423538907147
2849,71700000.0,2655.32,2043.78,2333.77,0.591702,0.633277,0.644739,1540000.0,204000000000.0,515.4345319764348
2854,842600.0,1815.35,2276.74,2123.98,0.574186,0.805587,0.528576,78400.0,2410000000.0,117.18560796103645
2855,427544.0,2182.87,3248.28,2109.52,0.336163,0.880642,0.75381,43488.0,1220000000.0,93.46752251185575
2856,333984.0,2460.75,1912.12,2106.75,0.514156,0.59111,0.821919,37864.0,954000000.0,86.0813388630952
2858,2490000.0,1237.41,3161.01,2166.11,0.627865,0.444511,0.837178,163328.0,7110000000.0,168.1642113639727
2859,2760000.0,2138.03,1371.79,2172.92,0.231589,0.985108,0.780027,184576.0,7900000000.0,174.03508909643108
2860,4810000.0,1667.31,2268.58,2178.51,0.451639,0.80889,0.677918,253568.0,13800000000.0,209.43478633365982
2862,1120000.0,1489.41,1609.57,2154.73,0.436587,0.817131,0.689502,88008.0,3210000000.0,128.84665060302285
2864,1300000.0,3001.09,2106.65,2150.39,0.415611,0.718955,0.812831,121544.0,3740000000.0,135.4092221542137
2865,433832.0,1946.47,2143.56,2138.11,0.449336,0.74722,0.73695,45376.0,1240000000.0,93.92351131199439
2866,1180000.0,1897.31,2661.4,2153.03,0.320054,0.706997,0.961739,99312.0,3390000000.0,131.10757812726956
2867,2110000.0,2306.08,3228.3,2156.31,0.477538,0.780224,0.669631,133848.0,6040000000.0,159.13337646489322
2868,512632.0,1873.78,2805.19,2129.71,0.419183,0.838901,0.692354,58792.0,1470000000.0,99.29690149221726
2869,388392.0,2319.85,2340.71,2167.52,0.819469,0.538487,0.335256,55600.0,1110000000.0,90.52264138037893
2870,1272.0,3090.87,2927.96,2084.97,0.666581,0.464801,0.717337,888.0,3650000.0,13.442998897057349
2871,2100000.0,1388.9,3279.22,2174.52,0.601724,0.473549,0.841044,152712.0,6040000000.0,158.88158272710717
2873,10400000.0,1734.45,2831.47,2248.51,0.592979,0.539857,0.753943,419688.0,29900000000.0,270.8184443084274
2874,84944.0,1247.63,1822.25,2106.02,0.411158,0.723916,0.813412,14952.0,244000000.0,54.5395263394238
2875,805448.0,1943.03,1928.87,2137.05,0.718388,0.376399,0.748175,75400.0,2320000000.0,115.43733580332966
2877,280304.0,1018.28,1455.58,2120.58,0.748429,0.502738,0.500401,39584.0,807000000.0,81.19766822259103
2878,4680000.0,1527.19,2370.5,2188.89,0.516679,0.673846,0.717257,249864.0,13500000000.0,207.53072833969605
2879,27768.0,1274.91,2991.24,2106.43,0.673111,0.595359,0.549062,7608.0,80000000.0,37.57064573569942
2880,4330000.0,2332.93,3085.16,2208.89,0.375043,0.77672,0.804611,218112.0,12500000000.0,202.22263173298137
2881,36100000.0,1896.33,1769.42,2303.48,0.568241,0.621414,0.6948,911784.0,104000000000.0,410.04941174740804
2882,6080000.0,1534.57,1782.01,2193.32,0.523428,0.493358,0.965975,278336.0,17500000000.0,226.44791118307765
2885,1740000.0,1668.37,2525.02,2165.4,0.742411,0.392875,0.655652,132512.0,5010000000.0,149.22796226529152
2886,260192.0,1694.35,3261.65,2140.5,0.802088,0.652484,0.303321,44408.0,751000000.0,79.20728108308698
2888,223392.0,1689.93,1803.37,2143.38,0.705956,0.415234,0.708139,37432.0,645000000.0,75.28174281032517
2890,47240.0,2252.72,3032.45,2111.4,0.384213,0.708899,0.868652,10208.0,137000000.0,44.850823575785824
