Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
360,906.356,1724.31,432.756,0.575486,0.552848,0.767867,6.2515,3.45613,2.65385,0.653088,0.716569,0.244959,0.402062,-0.602216,0.689697,0.641734,-0.351944,-0.681405,-5.81267,-4.86465,-4.03335,6.32832,4.48652,4.04244,4.31802,4.7921,3.25136,1.48938,0.798025,0.298272,384,0,20880,58
2544,2422.93,1714.13,447.352,0.883731,0.304312,0.382071,56.9835,17.3408,6.62539,0.430765,0.012185,0.902382,0.301668,0.940447,-0.156704,-0.850552,0.339723,0.401436,-17.8406,-11.5319,-6.67196,12.8392,11.0871,6.45597,16.9449,16.11,47.8948,3.3043,19.0684,-1.02543,1768,0,150096,59
576,2447.19,1739.94,445.111,0.819377,0.401976,0.449338,13.3761,5.37686,2.41603,0.645489,0.567713,-0.510927,-0.175028,0.761103,0.62457,0.743445,-0.313726,0.590649,-6.93285,-6.08623,-4.0486,9.1293,6.17706,4.22082,7.0733,7.66358,6.4321,3.62191,-3.93827,-1.7716,584,0,34560,60
64,2436.25,1726.75,444.25,0.597947,0.90944,0.442089,1.64937,1.5,0.663133,0.600751,0.527443,0.600751,-0.707107,8.81E-16,0.707107,-0.372959,0.84959,-0.372959,-2.89746,-2.41421,-2.19663,2.56043,2.41421,2.24847,1.4375,0.9375,1.4375,0.3125,-0.0625,0.3125,120,0,3904,61
64,2444.25,1644,453.75,0.466667,0.533333,1,1.875,1,1,0.707107,0,-0.707107,0,1,0,0.707107,0,0.707107,-2.76777,-3,-2.41421,3.47487,3,2.41421,1.4375,1,1.4375,0,-0.4375,0,128,0,3968,62
1.69E+08,1307.11,2696.31,868.056,0.56191,0.707202,0.619469,35777.6,25301.9,15673.8,0.576224,-0.0595999,0.815116,0.812984,-0.060463,-0.579138,0.0838009,0.99639,0.0136136,-418.573,-390.649,-302.279,444.851,344.531,297.64,28712.6,15780.4,32260.3,-1163.7,4909.3,-639.515,2.41E+06,0,1.06E+10,63
2.58E+07,2759.45,2709.29,687.107,0.590315,0.59856,0.684451,11070.4,6626.31,4535.38,0.454795,0.161495,0.875831,0.885229,0.0258326,-0.464438,-0.0976297,0.986535,-0.131212,-254.389,-187.113,-159.159,226.275,186.377,166.596,7525.6,4707.22,9999.3,527.796,1743.41,899.246,678992,0,1.65E+09,64
1200,1556.04,1928.44,465.52,0.741603,0.338442,0.763491,19.9067,6.73725,5.14383,0.0264789,0.987833,-0.153245,0.629232,0.102649,0.770409,0.776767,-0.116826,-0.618858,-9.77138,-6.17086,-5.38785,9.00638,6.05016,5.53537,5.78507,19.5664,6.43627,0.489067,0.712533,-2.1088,872,0,78000,65
1016,2439.65,1713.72,479.118,0.930157,0.125821,0.555099,58.9254,7.41403,4.11552,0.171455,0.153394,0.973177,0.370355,0.905315,-0.207947,0.912929,-0.396075,-0.0984101,-10.4565,-6.97105,-5.76989,18.8313,7.2271,5.55623,6.17918,8.10862,56.1672,2.54746,8.89131,7.56104,1000,0,67056,66
47728,2381.1,1752.64,492.888,0.960815,0.0716346,0.547018,887.941,63.6073,34.7943,0.621688,0.779402,0.0776885,-0.55533,0.368653,0.745455,0.552369,-0.506584,0.662013,-74.1832,-27.9752,-27.9373,60.7986,33.7456,14.2721,373.418,556.969,55.9549,407.489,29.2775,59.5767,16512,0,3.20E+06,67
