,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
221,18832,1141.77,2988.73,961.793,0.839945,0.246491,0.649335,5624,4180000,33.00901825
222,6700000,2886.28,2963.06,1100.06,0.654934,0.48646,0.70934,282848,1490000000,233.8973996
223,4672,1961.01,814.993,963.315,0.481351,0.569966,0.909964,1952,1050000,20.74124098
224,9410000,2545.65,2503.47,1154.08,0.770607,0.409506,0.560171,380168,2120000000,261.9370912
225,6290000,2671.43,3018.32,1112.08,0.699346,0.867421,0.346607,285424,1420000000,229.0255885
226,5670000,2862.65,1421.59,1097.11,0.685237,0.397005,0.792844,252112,1290000000,221.2388941
227,11600000,2133.58,2746.84,1155.46,0.744294,0.557953,0.458293,425312,2640000000,280.857778
228,20600000,1135.41,1466.29,1150.86,0.562232,0.866251,0.505359,603848,4720000000,340.1127133
229,25400000,1276.06,2948.99,1171.9,0.713792,0.597802,0.478768,728512,5840000000,364.707783
230,4120000,3076.72,899.679,1076.44,0.617922,0.423383,0.902441,203344,952000000,198.8991213
231,10700000,939.63,2177.74,1149.83,0.774099,0.727438,0.310544,437272,2480000000,273.3978228
232,3656,972.915,1320.18,986.862,0.31465,0.73381,0.933962,1608,851848,19.11330785
233,3020000,3132.92,2064.71,1108.42,0.735092,0.722254,0.36678,167440,706000000,179.3368099
234,35100000,2062.91,1387.41,1245.31,0.785023,0.703615,0.305532,938096,8260000000,406.2276665
235,5040000,945.394,1288.91,1129.39,0.724591,0.570366,0.482863,248600,1190000000,212.7211333
236,11900000,1558.77,2206.18,1207.6,0.885174,0.302725,0.379306,496920,2810000000,283.2583883
237,5210000,1384.23,1157.46,1140,0.42565,0.722416,0.79504,245744,1240000000,215.0864411
239,7650000,3041.22,1342.71,1176.78,0.561809,0.573228,0.764428,323304,1840000000,244.467391
240,13800000,3282.55,1926.89,1209.92,0.670791,0.455666,0.722478,483464,3340000000,297.5958162
241,2700000,3312.58,2092.44,1145.16,0.791421,0.489157,0.426405,160504,653000000,172.7647147
242,6848,2322.04,1941.71,1030.01,0.683103,0.345207,0.917991,2720,1660000,23.56071015
243,193000000,2583.73,1803.22,1463.95,0.514958,0.680402,0.712876,3090000,47000000000,717.0006712
244,5230000,1704.51,3284.68,1129.94,0.735568,0.466323,0.567058,251256,1280000000,215.3613123
245,44200000,915.91,2788.46,1297.43,0.693899,0.683103,0.448103,1050000,10900000000,438.6733141
247,9450000,2330.24,1530.74,1198.7,0.56227,0.868625,0.503935,366032,2340000000,262.3077137
248,5340000,2675.49,3167.09,1147.27,0.66319,0.517855,0.650395,253296,1330000000,216.8607115
249,18200000,3063.93,1049.21,1212.23,0.807031,0.453563,0.425452,582448,4550000000,326.3554893
250,93700000,1103.27,3062.55,1460.55,0.73033,0.466809,0.577689,1750000,23500000000,563.5256079
