Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
113768,3418.77,2780.72,1384.11,0.37434,0.725703,0.862144,241.48,175.243,151.085,0.0250709,0.813654,0.580809,-0.19017,-0.566501,0.801818,0.981431,-0.130555,0.14053,-34.3053,-34.5071,-31.8866,36.8069,31.5877,29.4816,152.015,218.683,197.11,4.4466,-2.36742,31.7455,18616,0,1.91E+08,1678
5.20E+06,1780.35,3278.68,1466.56,0.353398,0.811876,0.79643,2904.16,2357.82,1877.84,-0.54615,0.837324,0.024674,-0.427515,-0.303937,0.851383,0.720383,0.454434,0.523964,-135.289,-116.753,-104.86,120.234,113.452,106.591,2271.69,2641.75,2226.38,-406.975,-188.533,-102.999,239880,0,8.73E+09,1679
2.96E+06,1041.35,980.495,1447.24,0.676885,0.471614,0.685127,3011.52,1420.28,973.07,0.10461,0.887381,0.449012,0.738633,-0.37165,0.562404,0.665942,0.272822,-0.694327,-118.968,-93.5222,-77.142,130.158,94.5808,78.408,1239.36,2640.01,1525.5,66.4639,281.523,718.738,170800,0,4.97E+09,1680
34168,1639.32,1402.72,1374.97,0.292349,0.868211,0.815068,98.7612,85.7456,69.8885,0.452665,0.867394,0.206692,0.387724,-0.400209,0.830363,0.802972,-0.295737,-0.51747,-24.0689,-24.1048,-21.3115,25.7382,20.505,19.4148,78.1885,94.1514,82.0555,8.87601,7.80663,-0.0932141,8264,0,5.74E+07,1681
372168,1479.82,1487.45,1396.04,0.666853,0.390011,0.8542,799.679,311.883,266.411,-0.0287515,0.975731,0.217076,-0.482688,-0.20372,0.851769,0.87532,-0.0802903,0.476831,-63.6333,-43.4812,-41.8063,63.3374,43.1216,37.7058,277.446,775.996,324.53,-10.4887,-22.0238,105.06,41688,0,6.26E+08,1682
1.14E+06,3343.55,2194.88,1430.55,0.483284,0.833116,0.620221,1124.72,937.021,581.159,-0.202405,0.979148,-0.0173628,0.228443,0.0644483,0.971422,0.952285,0.192654,-0.236724,-78.1464,-73.7828,-56.6148,76.4589,69.8278,57.7445,621.999,1103.76,917.135,-102.485,80.8808,13.0383,85960,0,1.91E+09,1683
1.39E+06,2501.59,2910.64,1500.91,0.648632,0.386354,0.909446,1953.67,754.808,686.457,-0.258646,0.243537,0.934768,-0.512992,0.785331,-0.346547,0.8185,0.569161,0.0781903,-135.119,-68.9634,-67.5017,89.6587,68.7074,60.1568,789.218,803.771,1801.94,-107.358,-294.228,269.88,101840,0,2.35E+09,1684
6.83E+06,1227.34,2342.91,1471.73,0.459195,0.554133,0.975948,4247.66,2353.77,2297.16,0.095415,0.971074,0.218885,0.0812802,-0.226755,0.970554,0.992114,-0.0748144,-0.100565,-155.594,-109.58,-127.736,141.114,117.065,105.18,2315.29,4139.36,2443.93,179.681,45.2022,402.128,308248,0,1.15E+10,1685
2.05E+06,2680.29,2432.32,1447.23,0.672235,0.675603,0.485145,2095.36,1415.63,686.788,-0.16232,0.825548,-0.540484,-0.0886739,0.533328,0.841248,0.982746,0.184479,-0.0133654,-107.266,-87.3056,-62.1249,107.418,93.3446,64.7354,729.632,1854.09,1614.07,-223.223,69.207,-301.495,133816,0,3.46E+09,1686
2.77E+06,2570.44,1865.42,1451.07,0.37645,0.681536,0.914918,2047.04,1395.13,1276.43,-0.416491,0.897472,-0.145183,0.777478,0.26883,-0.568559,0.471236,0.349676,0.80973,-107.078,-89.355,-85.5405,105.615,91.3752,80.4268,1481.85,1905.7,1331.04,-263.235,-5.87402,-118.552,159224,0,4.67E+09,1687
